Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,839.940002,843.010010,836.760010,839.590027,837.412964,491000
2021-08-31,843.780029,844.159973,827.210022,833.039978,830.879883,579300
2021-09-01,838.719971,850.719971,836.690002,842.169983,839.986206,581900
2021-09-02,852.159973,862.049988,848.869995,861.280029,859.046692,746800
2021-09-03,848.520020,862.979980,848.520020,858.109985,855.884888,698000
2021-09-07,865.289978,868.880005,857.760010,861.770020,859.535400,780900
2021-09-08,857.609985,859.900024,849.919983,857.989990,855.765198,714900
2021-09-09,855.479980,862.760010,852.099976,853.500000,851.286865,641900
2021-09-10,870.940002,875.359985,857.400024,858.869995,856.642883,1137400
2021-09-13,869.219971,872.210022,861.039978,871.239990,868.980835,636000
2021-09-14,883.820007,895.929993,879.679993,888.070007,885.767212,978300
2021-09-15,886.989990,890.010010,879.440002,889.330017,887.023926,799700
2021-09-16,877.140015,889.780029,875.440002,887.309998,885.009155,811400
2021-09-17,875.099976,875.309998,852.409973,859.849976,857.620361,1670500
2021-09-20,838.880005,845.489990,829.700012,840.739990,838.559937,1122600
2021-09-21,860.000000,862.369995,844.489990,854.729980,852.513611,905700
2021-09-22,851.830017,871.650024,849.460022,864.739990,862.497681,669400
2021-09-23,877.390015,888.719971,877.260010,879.780029,877.498718,744500
2021-09-24,867.359985,873.359985,865.119995,868.820007,866.567139,510400
2021-09-27,843.280029,847.880005,833.049988,835.309998,833.143982,1063900
2021-09-28,794.840027,799.340027,773.070007,780.169983,778.146973,2390100
2021-09-29,785.000000,786.229980,749.119995,750.419983,748.474121,2216000
2021-09-30,754.250000,762.320007,742.289978,745.109985,743.177856,1078800
2021-10-01,745.000000,745.000000,728.369995,741.809998,739.886475,1180400
2021-10-04,728.900024,730.159973,709.030029,712.940002,711.091309,1663500
2021-10-05,725.039978,742.630005,722.619995,732.869995,730.969604,1201500
2021-10-06,725.380005,734.700012,719.010010,732.500000,730.600586,973000
2021-10-07,745.409973,753.669983,742.229980,746.820007,744.883484,1267500
2021-10-08,749.359985,749.739990,729.330017,730.270020,728.376404,1039700
2021-10-11,722.780029,735.830017,721.359985,721.890015,720.018127,702500
2021-10-12,734.000000,734.000000,722.400024,725.049988,723.169922,868400
2021-10-13,743.150024,749.460022,740.000000,744.419983,742.489685,1170000
2021-10-14,769.599976,778.640015,765.679993,778.289978,776.271851,1370500
2021-10-15,780.960022,789.640015,775.840027,789.400024,787.353088,877400
2021-10-18,774.090027,788.330017,772.989990,788.219971,786.176086,1014600
2021-10-19,788.179993,801.619995,786.299988,800.960022,798.883118,956600
2021-10-20,782.239990,785.140015,758.239990,767.700012,765.709351,1894900
2021-10-21,764.530029,787.559998,763.869995,787.559998,785.517822,1083100
2021-10-22,798.190002,808.799988,796.270020,800.969971,798.893005,1294600
2021-10-25,799.690002,803.190002,787.010010,788.440002,786.395569,786000
2021-10-26,796.400024,797.989990,784.190002,791.229980,789.178284,741400
2021-10-27,798.059998,818.950012,797.200012,801.000000,798.922974,949800
2021-10-28,814.119995,821.919983,810.719971,813.190002,811.081360,687500
2021-10-29,807.229980,814.460022,804.750000,812.880005,810.772156,583800
2021-11-01,806.909973,808.000000,796.479980,807.450012,805.356262,573600
2021-11-02,812.320007,817.690002,811.289978,812.020020,812.020020,503800
2021-11-03,818.400024,831.580017,810.479980,830.020020,830.020020,566900
2021-11-04,831.640015,853.150024,829.599976,850.489990,850.489990,1058200
2021-11-05,852.229980,854.640015,841.640015,847.000000,847.000000,735300
2021-11-08,855.510010,856.950012,848.000000,849.929993,849.929993,728100
2021-11-09,852.010010,855.460022,842.000000,850.049988,850.049988,676500
2021-11-10,829.609985,835.440002,815.109985,817.849976,817.849976,737700
2021-11-11,833.270020,839.039978,829.200012,833.390015,833.390015,416000
2021-11-12,840.000000,855.000000,835.099976,851.630005,851.630005,531200
2021-11-15,855.000000,861.599976,852.989990,856.719971,856.719971,638000
2021-11-16,851.520020,862.609985,847.239990,860.549988,860.549988,690900
2021-11-17,859.200012,868.000000,857.599976,859.460022,859.460022,549400
2021-11-18,877.419983,881.119995,870.559998,879.119995,879.119995,865800
2021-11-19,866.849976,867.549988,854.469971,857.169983,857.169983,778200
2021-11-22,855.000000,859.659973,824.719971,825.750000,825.750000,880800
2021-11-23,811.659973,819.359985,793.119995,807.479980,807.479980,1193000
2021-11-24,782.000000,803.479980,777.440002,802.390015,802.390015,1246700
2021-11-26,786.960022,795.919983,776.010010,782.020020,782.020020,786300
2021-11-29,795.010010,815.729980,789.989990,815.010010,815.010010,1410700
2021-11-30,807.070007,821.349976,787.150024,791.510010,791.510010,1144500
2021-12-01,812.559998,832.679993,802.440002,804.000000,804.000000,1201200
2021-12-02,784.440002,796.450012,778.320007,789.380005,789.380005,957100
2021-12-03,785.969971,790.739990,759.840027,771.520020,771.520020,1115600
2021-12-06,758.880005,761.400024,741.400024,756.390015,756.390015,1222900
2021-12-07,788.000000,809.400024,783.719971,806.010010,806.010010,983200
2021-12-08,803.210022,805.000000,796.190002,803.919983,803.919983,551500
2021-12-09,786.159973,790.010010,772.359985,772.609985,772.609985,709100
2021-12-10,777.280029,783.650024,772.479980,781.840027,781.840027,602700
2021-12-13,780.570007,781.840027,764.340027,764.469971,764.469971,615100
2021-12-14,754.419983,760.309998,743.250000,754.390015,754.390015,842400
2021-12-15,764.570007,792.599976,760.659973,792.219971,792.219971,910700
2021-12-16,799.000000,799.840027,753.619995,755.000000,755.000000,1006900
2021-12-17,751.159973,758.000000,743.960022,749.869995,749.869995,1656700
2021-12-20,747.599976,756.719971,744.450012,752.880005,752.880005,647100
2021-12-21,775.729980,784.450012,765.020020,783.039978,783.039978,838100
2021-12-22,777.799988,792.119995,775.000000,792.119995,792.119995,534800
2021-12-23,794.640015,805.719971,794.080017,801.409973,801.409973,496600
2021-12-27,794.400024,813.590027,794.359985,811.429993,811.429993,527500
2021-12-28,817.299988,817.299988,803.090027,804.770020,804.770020,548500
2021-12-29,798.109985,805.239990,794.400024,801.979980,801.979980,404900
2021-12-30,803.690002,808.289978,799.919983,800.219971,800.219971,411900
